creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Nicolau Del Negro;Brazil;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;;;;male;https://www.catalogodasartes.com.br/artista/Nicolau%20Del%20Negro/;;A fonte identifica a ENBA e as aulas de Lucílio de Albuquerque, Rodolfo Chambelland e Rodolfo Amoedo, mas não fornece intervalo cronológico.;;;"outros; Museu Histórico Nacional";Rio de Janeiro;;;alta;;;;;;
Nicolette Daskalakis;United States;"Institut supérieur des arts et du design de Toulouse; University of Southern California, School of Cinematic Arts; University of Southern California, Roski School of Art & Design";43.6008;1.44043;San Francisco, USA;;;female;CV oficial da artista;alto;;site oficial da artista;alto;FILE;;;;;;;;;;
Nicolás Alcalá;Spain;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Nienke Deutz;Kingdom of the Netherlands;"Maastricht Academy of Fine Arts; KASK / School of Arts";"50.848736111111;";"5.6830416666667;";Netherlands;;;female;Animafest / Batavierhuis;médio;"fonte biográfica identifica apenas o país; preenchimento mantido em nível de país.";FILE Festival;médio;FILE;;;;;;;;;;
Nikita Diakur;Russia;Royal College of Art;51.501388888889;-0.17888888888889;Russia;;;male;FILE Festival;médio;;FILE Festival / Re-Imagine Europe;alto;FILE;;;;;61.989526183;96.805371534;100.0;;;
Nilda Neves;;curso de contabilidade (instituição não identificada na fonte);;;;;;;"https://www.catalogodasartes.com.br/artista/Nilda%20Neves/ | https://www.centralgaleria.com/exposicoes/nildaneves-visagens; https://www.catalogodasartes.com.br/artista/Nilda%20Neves/";;"A fonte confirma estudo de contabilidade, mas não informa a instituição. | fontes divergentes sobre o local de nascimento (Botuporã/BA e Camanducaia/MG); campo não preenchido.";;;"MAC; outros; MAC USP";Brumado (BA);sem data precisa;;baixa;;;;;;
Niobe Xandó;Brazil;ateliê de Raphael Galvez;;;Campos Novos Paulista, São Paulo, Brazil;;;female;https://pt.wikipedia.org/wiki/Niobe_Xand%C3%B3;;"artista frequentemente descrita como autodidata; registro mantido apenas para o estudo em ateliê explicitado na fonte";Guia das Artes;médio;"MAC; outros; MAC USP";São Paulo, Brasil;1947;https://pt.wikipedia.org/wiki/Niobe_Xand%C3%B3;media;;;;;;
Niura Bellavinha;Brazil;"Escola Guignard; Universidade Federal de Minas Gerais (UFMG); Parsons School of Design";"-19.9552; -19.8690878";"-43.9202; -43.9663841";Belo Horizonte;;;female;https://www.niurabellavinha.com.br/biografia | https://pt.wikipedia.org/wiki/Niura_Bellavinha;;As fontes também registram oficinas e orientação de Amílcar de Castro.;;;"MAC; outros; MAC USP";"Belo Horizonte (MG); Nova York (EUA)";"1976-1977; 1982-1984";https://www.niurabellavinha.com.br/biografia | https://pt.wikipedia.org/wiki/Niura_Bellavinha;alta;-19.9181771;-43.9370534;100.0;;;
Noha Eid;Egypt;Alexandria University;31.20194;29.90528;Alexandria, Egypt;;;female;East-West Dialogue / Racotis Art;médio;;East-West Dialogue;alto;FILE;;;;;;;;;;
Nonnnon;United States;;;;Salt Lake City, Utah, United States;;;male;;;nome artístico vinculado no FILE a Dave Madden, descrito como “de Salt Lake City”.;FILE Festival;baixa;FILE;;;;;;;;;;
Norha Beltran;;"Academia de Belas Artes (Viena) e outras academias de belas-artes na Bolívia, Áustria, Espanha e Brasil; estudos de Museologia e Psicologia no Brasil";48.20833333333334;16.3725;La Paz, Bolivia;;;;"https://www.catalogodasartes.com.br/artista/Norha%20Beltr%EF%BF%BDn/ | https://www.museonacionaldearte.gob.bo/2023/10/11/norah-beltran/; https://www.catalogodasartes.com.br/artista/Norha%20Beltr%EF%BF%BDn/ | https://www.museonacionaldearte.gob.bo/2023/10/11/norah-beltran/ | https://www.guiadasartes.com.br/norha-beltran/obras-principais";;"As fontes confirmam formação em várias academias, mas sem cronologia fina; mantida formulação prudente.";Museo Nacional de Arte (Bolívia);alto;"MAC; outros; MAC USP";"Europa; Brasil; Viena";"sem datas exatas; referência específica a Viena";;baixa;;;;;;
Nuno Ramos;Brazil;Faculdade de Filosofia, Letras e Ciências Humanas da USP;-23.5613991;-46.7307891;São Paulo;;;male;https://pt.wikipedia.org/wiki/Nuno_Ramos;;"formação em filosofia; passa a integrar a Casa 7 em 1984";;;"MAC; outros; MAC USP";São Paulo, Brasil;1978–1982;https://pt.wikipedia.org/wiki/Nuno_Ramos;alta;-23.5486657;-46.6382522;100.0;;;
Nury Iyem;;"Istanbul State Academy of Fine Arts; Higher Department of Painting";41.01;28.960277777778;;;;;fontes biográficas de referência;;"possível variante gráfica de Nuri İyem; sem desambiguação segura";;;"MAC; outros; MAC USP";"Istambul, Turquia; Istambul, Turquia";"1933–1937; 1940";fontes biográficas de referência;alta;;;;;;
Não identificada;;;;;;;;;;;autoria não identificada;;;"outros; Museu do Diamante";;;;;;;;;;
Não identificado;;;;;;;;;;;autoria não identificada;;;"outros; Museu Regional do Caeté";;;;;;;;;;
O. Brieu;;;;;;;;male;;;"assinatura abreviada; não foi possível desambiguar com segurança";;;"outros; Pinacoteca de São Paulo";;;;;;;;;;
Octave Tassaert;France;"Beaux-Arts de Paris; aprendizado de gravura com Alexis-François Girard; École royale des beaux-arts de Paris";"48.85680555555555; ; 48.85680555555555";"2.333277777777778; ; 2.333277777777778";Paris;;14th arrondissement of Paris;male;https://fr.wikipedia.org/wiki/Octave_Tassaert;;;;;"outros; Museu Nacional de Belas Artes";"Paris, França; Paris, França";"1816; 1817–1825";https://fr.wikipedia.org/wiki/Octave_Tassaert;media;48.856372814;2.352529617;100.0;48.8329218;2.3267959;100.0
Odilla Mestriner;Brazil;Escola Municipal de Belas Artes de Ribeirão Preto;-21.1776315;-47.8100983;Ribeirão Preto;;;female;https://enciclopedia.itaucultural.org.br/pessoas/2074-odilla-mestriner;;aluna de Domenico Lazzarini;;;"MAC; outros; MAC USP";Ribeirão Preto, Brasil;1955–1956;https://enciclopedia.itaucultural.org.br/pessoas/2074-odilla-mestriner;alta;-21.1766308;-47.8208378;100.0;;;
Oliver Grau;Germany;Humboldt-Universität zu Berlin;52.518055555555556;13.393333333333333;Germany;;;male;ZKM;médio;"fonte biográfica identifica apenas o país; preenchimento mantido em nível de país.";ISEA Symposium Archives / Wikipedia;médio;FILE;;;;;;;;;;
Olle Bærtling;Sweden;"escola de Otte Sköld; Académie André Lhote";48.85666666666667;2.352222222222222;Halmstad;;Stockholm;male;fontes biográficas de referência;;formação combinando ateliê e academia;;;"MAC; outros; MAC USP";"Estocolmo, Suécia; Paris, França";"1934; c. 1948";fontes biográficas de referência;media;56.6735868;12.8571404;100.0;59.3327881;18.0644881;100.0
Omar Rayo;;;;;;;;;;;;;;;;;;;;;;;;
Or Kantor;Israel;autodidata;;;;;;;site oficial do artista;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Oreste Sercelli;Kingdom of Italy;Escola Profissional de Artes Industriais e Decorativas de Florença;43.771388888889;11.254166666667;Florence;;São Paulo;male;https://pt.wikipedia.org/wiki/Oreste_Sercelli;;A fonte também o descreve como professor de artes decorativas ao chegar ao Brasil.;;;"outros; Museu Paulista";Florença;;;alta;43.7686976;11.2569291;100.0;-23.5486657;-46.6382522;100.0
Oscar Dominguez;France;Instituto de La Laguna;25.535249;-103.434875;San Cristóbal de La Laguna;Montparnasse Cemetery;Paris;male;https://oliviermalingue.com/artists/53-oscar-dominguez/biography/;;A biografia confirma estudos no Instituto de La Laguna, mas sem datas precisas no trecho consultado.;;;"MAC; outros; MAC USP";San Cristóbal de La Laguna, Espanha;;;media;28.4881163;-16.3147761;100.0;48.856372814;2.352529617;100.0
Oscar Garcia Reino;Uruguay;"Círculo de Bellas Artes; Escuela Taller de Artes Plásticas; cursos de composição de Cecilia Marcovich; Gobelins; Escuela Superior de Bellas Artes de Bruselas";"40.418307; 50.84666666666666";"-3.696575; 4.351666666666667";Montevideo, Uruguay;;;male;https://www.askart.com/bio/Oscar_Garcia_Reino/11102130/oscar-garcia-reino | https://www.lmda.uy/garcia-reino;;;MAC USP;alto;"MAC; outros; MAC USP";"Montevidéu; Bruxelas/França";"1956-1958 para Gobelins/Bruxelas; sem datas exatas para a formação inicial";https://www.lmda.uy/garcia-reino;media;;;;;;
Oscar Pereira da Silva;Brazil;Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;São Fidélis;;São Paulo;male;"Wikipédia; Guia das Artes";;em Paris estudou com Léon Bonnat e Jean-Léon Gérôme;;;"outros; Museu Casa de Benjamin Constant";"Rio de Janeiro; Paris, França";"1882–1887; 1889–1896";"Wikipédia; Guia das Artes";media;-21.6460048;-41.7531245;100.0;-23.5486657;-46.6382522;100.0
Osvaldo Carvalho;;"EAV-Parque Lage; Oficina de Escultura do Museu do Ingá; ECA-USP";"-22.903722222222; -23.55833333";"-43.125416666667; -46.72694444";;;;;https://www.catalogodasartes.com.br/artista/Osvaldo%20Carvalho/ | https://zbgaleriadearte.com.br/artista/osvaldo-carvalho/ | https://galeriadearte.acervos.ufsc.br/os-artistas/osvaldo-carvalho/;;"As fontes convergem em estudos no Parque Lage e Museu do Ingá, além do título de mestre em Poéticas Visuais pela ECA-USP. | fontes divergentes sobre local e ano de nascimento; possível homônimo, campo não preenchido.";;;"MAC; outros; MAC USP";"Rio de Janeiro; Niterói; São Paulo";"sem datas exatas nas fontes; mestrado concluído antes da atuação documentada em 2000";https://www.catalogodasartes.com.br/artista/Osvaldo%20Carvalho/ | https://zbgaleriadearte.com.br/artista/osvaldo-carvalho/;alta;;;;;;
Osvaldo Cibils;Uruguay;;;;Montevideo, Uruguay;;;male;;;;PROYECTOR;alta;FILE;;;;;;;;;;
Osvaldo Oliveira Cunha;;"Faculdade de Belas Artes de São Paulo; oficinas do Museu Lasar Segall e da Pinacoteca; estudos com Michinori Inagaki";"-23.583688; -23.5947";"-46.633917; -46.6356";;;;;"https://www.newbarbizonartgallery.com/osvaldo-oliveira-personal-art-gallery | https://www.guapufrn.com/0001/osvaldo-oliveira; https://www.newbarbizonartgallery.com/osvaldo-oliveira-personal-art-gallery | https://hotmart.com/pt-br/marketplace/produtos/osvaldo-oliveira/V75861961W";;"As fontes abertas usam 'Osvaldo Oliveira'; mantive associação ao creator 'Osvaldo Oliveira Cunha' com confiança média.";;;"MAC; outros; MAC USP";São Paulo;anos 1980;https://www.newbarbizonartgallery.com/osvaldo-oliveira-personal-art-gallery;media;;;;;;
Oswald de Andrade Filho;Brazil;"Estudos na Suíça; aulas com Candido Portinari, Anita Malfatti e Lasar Segall";46.798562;8.231973;São Paulo, SP, Brazil;;;male;https://enciclopedia.itaucultural.org.br/pessoas/3397-oswald-de-andrade-filho | https://www.guiadasartes.com.br/oswald-de-andrade-filho/obras-e-biografia;;;Enciclopédia Itaú Cultural;alto;"MAC; outros; MAC USP";"São Paulo; Europa/Suíça";"c. 1924-1929; 1931-1936";https://enciclopedia.itaucultural.org.br/pessoas/3397-oswald-de-andrade-filho | https://www.guiadasartes.com.br/oswald-de-andrade-filho/obras-e-biografia;media;;;;;;
Oswaldo Goeldi;Brazil;"Escola Nacional de Belas Artes; Escola Politécnica de Zurique; École des Arts et Métiers";"47.37645; 48.85666666666667";"8.54785; 2.352222222222222";Rio de Janeiro;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Oswaldo_Goeldi;;abandona engenharia e passa por seis meses na Escola de Artes e Ofícios de Genebra;;;"MAC; outros; MAC USP";"Zurique, Suíça; Genebra, Suíça";"1914–1917; 1917";https://pt.wikipedia.org/wiki/Oswaldo_Goeldi;alta;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Oswaldo Teixeira;Brazil;"National School of Fine Arts; Liceu de Artes e Ofícios do Rio de Janeiro; Escola Nacional de Belas Artes (Enba)";"-22.91111111111111; -22.90879805555556";"-43.20555555555556; -43.17573111111111";Rio de Janeiro;;Rio de Janeiro;male;https://www.oswaldoteixeira.art.br/ | https://www.guiadasartes.com.br/oswaldo-teixeira-do-amaral/biografia;;As fontes citam também os mestres Argemiro Cunha, Eurico Moreira Alves, Rodolfo Chambelland e Baptista da Costa.;;;"outros; Museu Paulista";Rio de Janeiro;;;alta;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Ottaviano Nelli;;"provável formação com o pai Martino Nelli; tradição local umbriana";"; ";"; ";Gubbio;;Gubbio;male;https://en.wikipedia.org/wiki/Ottaviano_Nelli;;Registro prudente por escassez de documentação formativa detalhada.;;;"outros; MASP";Gubbio;;;baixa;43.3554814;12.5734444;100.0;43.3554814;12.5734444;100.0
Ottone Rosai;Italy;"Accademia di Belle Arti di Firenze; School of Engraving (com Celestino Celestini)";43.776907;11.258475;Florence;Cimitero delle Porte Sante;Ivrea;male;"Estorick Collection; Collezione Giuseppe Iannaccone";;"expulso da academia; continuidade dos estudos em gravura";;;"MAC; outros; MAC USP";"Florença, Itália; Florença, Itália";"até 1912; c. 1913";"Estorick Collection; Collezione Giuseppe Iannaccone";media;43.7686976;11.2569291;100.0;45.466605;7.8759452;100.0
Ottone Zorlini;Brazil;Academia de Belas Artes de Veneza;45.431078;12.328139;Province of Treviso;;;male;https://www.guiadasartes.com.br/ottone-zorlini;;os dados de formação na Itália são descritos como incertos, mas a entrada na academia é explicitada;;;"MAC; outros; MAC USP";Veneza, Itália;1905–1906;https://www.guiadasartes.com.br/ottone-zorlini;media;45.83333;12.21667;100.0;;;
P. Meytre;;;;;;;;;;;"assinatura abreviada; não foi possível desambiguar com segurança";;;"outros; Museu da Inconfidência";;;;;;;;;;
Pablo Bounous;Uruguay;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Pablo Gobira;Brazil;Universidade Federal de Minas Gerais;-19.8690878;-43.9663841;;;;female;Escavador/Lattes;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Pablo Picasso;Spain;"Royal Academy of Fine Arts of San Fernando; School of Fine Arts of La Lonja; Real Academia de San Fernando";"-34.4549738; 40.4178";"-58.8421679; -3.7007";Málaga;Château of Vauvenargues;Mas Notre-Dame-de-Vie de Mougins;male;"https://www.museepicassoparis.fr/en/picasso-timeline; https://www.museepicassoparis.fr/en/picassos-training";;Treinado também pelo pai, professor de desenho, mas o preenchimento privilegia instituições formais.;;;"MAC; outros; MAC USP";"Barcelona, Espanha; Madrid, Espanha";"1895–1900; 1897–1898";"https://www.museepicassoparis.fr/en/picasso-timeline ; https://www.museepicassoparis.fr/en/picassos-training";alta;36.7196292;-4.4200007;100.0;43.593596124973;7.002182144023;95.24
Pablo-Martín Córdoba;Argentina;autodidata;;;;;;male;PROYECTOR;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Paolo Rissone;;Accademia di Brera;45.47222222;9.18888889;Reggio Calabria, Italy;;;;fontes biográficas de referência;;;Enciclopédia Itaú Cultural;alto;"MAC; outros; MAC USP";Milão, Itália;s.d.;fontes biográficas de referência;baixa;;;;;;
Paolo Serafini;;"formação com o pai Serafino Serafini; trabalho formativo ao lado de Simone dei Crocefissi";"; ";"; ";;;;male;https://pt.wikipedia.org/wiki/Paolo_Serafini_da_Modena;;A formação é reconstruída por vínculos familiares e de oficina, não por academia formal.;;;"outros; MASP";"Módena; Bolonha";"antes de 1371; documentado em 1371 em San Domenico, Bolonha";https://pt.wikipedia.org/wiki/Paolo_Serafini_da_Modena;media;;;;;;
Paris Bordone;Republic of Venice;ateliê de Ticiano;;;Treviso;;Venice;male;https://en.wikipedia.org/wiki/Paris_Bordone | https://www.britannica.com/biography/Paris-Bordone;;Formação em oficina/atelier.;;;"outros; MASP";Veneza;;;media;45.6662855;12.242072;100.0;45.434608;12.338913;100.0
Paris Mavroidis;United States;"Brown University; Pratt Institute";"41.82611111111111; 40.691111";"-71.40305555555555; -73.963889";;;;;FILE Festival;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;
Patakk;Croatia;"Faculty of Electrical Engineering and Computing, University of Zagreb; Universidad Politécnica de Madrid";40.448655555556;-3.7088805555556;Zagreb, Croatia;;;male;galeria Ragnar Digital;médio;;Ragnar Digital;alto;FILE;;;;;45.815916177;15.980642745;100.0;;;
Patricio Ballesteros Ledesma;Argentina;Universidad de Buenos Aires (UBA);-34.599722222222;-58.373055555556;Buenos Aires;;;male;CV / Video Art World;alto;;;;FILE;;;;;-34.6090264;-58.3732215;100.0;;;
Patricio Gonzalez Vivo;Argentina;Parsons The New School;40.73534;-73.99704;Buenos Aires, Argentina;;;male;site oficial do artista;alto;;Eyeo Festival;alto;FILE;;;;;-34.6090264;-58.3732215;100.0;;;
Paul Clement;France;"Athénée de Luxembourg; École des Beaux-Arts";"49.60388889; 48.85666666666667";"6.11083333; 2.333611111111112";Aix-en-Provence, France;;;male;https://de.wikipedia.org/wiki/Paul_Clement_(Maler);;;Montmartre Montparnasse;médio;"MAC; outros; MAC USP";"Luxemburgo; Paris, França";"s.d.; s.d.";https://de.wikipedia.org/wiki/Paul_Clement_(Maler);media;;;;;;
Paul Cézanne;France;"Aix-Marseille University; Aix-Marseille University (curso de direito); Académie Suisse";"43.29349444444444; 43.29349444444444; 48.8545";"5.357841666666666; 5.357841666666666; 2.3446";Aix-en-Provence;Saint-Pierre Cemetery;Aix-en-Provence;male;https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne | https://www.worldhistory.org/Paul_Cezanne/;;A fonte também menciona aulas de desenho com Joseph Gibert antes da ida a Paris.;;;"outros; MASP";"Aix-en-Provence; Paris";"1856-1858; 1861-1862";https://www.worldhistory.org/Paul_Cezanne/ | https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne;alta;43.529850239;5.447376271;100.0;43.529850239;5.447376271;100.0
Paul de Geslin;France;École des Beaux-Arts / ateliê de Jean-Auguste-Dominique Ingres;48.85666666666667;2.333611111111112;Rennes;Cemetery of Saint-Louis, Versailles;Versailles;male;https://fr.wikipedia.org/wiki/Paul_de_Geslin;;registro combina ingresso na escola e formação em ateliê;;;"outros; Museu do Diamante";Paris, França;1828;https://fr.wikipedia.org/wiki/Paul_de_Geslin;media;48.111582472;-1.68005409;100.0;48.8047472;2.1205122;100.0
Paul Gauguin;France;"lycée Pothier; Petit Séminaire de La Chapelle-Saint-Mesmin; Loriol Institute; Lycée Jeanne d'Arc; formação artística autodidata e informal com mentoria de Camille Pissarro";"47.8822; 45.7769";"1.839; 3.09487";Paris;Calvary Cemetery;Atuona;male;https://en.wikipedia.org/wiki/Paul_Gauguin;;A formação artística é explicitamente descrita como largely self-taught and informal.;;;"outros; MASP";"Orléans; Paris";"antes de 1865; formação artística sem data escolar precisa";https://en.wikipedia.org/wiki/Paul_Gauguin;media;48.856372814;2.352529617;100.0;-9.8032751;-139.0415162;100.0
Paul Jenkins;United States;"Art Students League of New York; Kansas Art Institute; Cleveland Play House";"39.0463; 41.49916666666667";"-94.5831; -81.69472222222223";Kansas City;;New York City;male;https://en.wikipedia.org/wiki/Paul_Jenkins_%28painter%29;;na Art Students League estuda com Yasuo Kuniyoshi;;;"MAC; outros; MAC USP";"Kansas City, EUA; Cleveland, EUA; Nova York, EUA";"1937–1942; s.d.; 1948–1952";https://en.wikipedia.org/wiki/Paul_Jenkins_%28painter%29;media;39.099792;-94.578559;100.0;40.7130466;-74.0072301;100.0
Paul Émile Chabas;France;"lycée Georges-Clemenceau; Académie Julian";"47.2189; 48.871111111111";"-1.545; 2.3416666666667";Nantes;;Paris;male;https://pt.wikipedia.org/wiki/Paul_Chabas | https://myopenmuseum.com/en/artist/paul-emile-chabas-964791;;A fonte também cita formação com William-Adolphe Bouguereau e Tony Robert-Fleury.;;;"outros; MASP";Paris, França;"antes de 1890; sem datas exatas adicionais na fonte";https://pt.wikipedia.org/wiki/Paul_Chabas;alta;47.21838348;-1.554317317;100.0;48.856372814;2.352529617;100.0
Paula Perissinotto;Brazil;"Fundação Armando Alvares Penteado (FAAP); Escola de Comunicações e Artes da Universidade de São Paulo; MECAD / ESDI";"-23.5450155; -23.55833333;";"-46.6630802; -46.72694444;";São Paulo, São Paulo, Brasil;;;female;Biblioteca Virtual da FAPESP;alto;;Currículo Lattes (espelho USP/Academia.edu);médio;FILE;;;;;;;;;;
Paulina Rutman;Chile;"School of the Art Institute of Chicago; The Edit Center";40.65083333333333;-73.94972222222222;Chile;;;female;FILE Festival;médio;"fonte biográfica identifica apenas o país; preenchimento mantido em nível de país.";FILE Festival;médio;FILE;;;;;;;;;;
Pauline Le Bris;France;Supinfocom Valenciennes;50.35805555555555;3.523333333333333;France;;;female;portfólio / CV da artista;médio;"FILE explicita “País de Origem”; preenchido em nível de país.";FILE Festival (País de Origem);alto;FILE;;;;;;;;;;
Paulo Almeida;Portugal;Imperial College London;51.498308;-0.176882;São Paulo, Brazil;;;male;FILE Festival;médio;;Galeria Leme;alta;FILE;;;;;;;;;;
Paulo Becker;;"Universidade Federal do Rio de Janeiro (UFRJ); formação com Turíbio Santos, Marco Pereira, Léo Soares e Nícolas Barros";-22.8625;-43.223888888889;Santa Cruz do Sul, RS, Brazil;;;;"https://acervo.casadochoro.com.br/cards/view/1641 | https://www.revistaprosaversoearte.com/casa-do-choro-ze-paulo-becker-e-fernando-leitzke/; https://acervo.casadochoro.com.br/cards/view/1641 | https://dicionariompb.com.br/artista/ze-paulo-becker/";;;MARGS / Guia das Artes;alto;"MAC; outros; MAC USP";Rio de Janeiro (RJ);"violão clássico por 12 anos; sem datas exatas na fonte";https://acervo.casadochoro.com.br/cards/view/1641;media;;;;;;
Paulo Franco;;Faculdade de Belas Artes de São Paulo;-23.583688;-46.633917;;;;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu de Arte Religiosa e Tradicional";São Paulo, Brasil;1980s;fontes biográficas de referência;baixa;;;;;;
Paulo Monteiro;Brazil;Faculdade de Belas Artes de São Paulo;-23.583688;-46.633917;São Paulo;;;male;https://www.guiadasartes.com.br/paulo-bacellar-monteiro;;;;;"MAC; outros; MAC USP";São Paulo, Brasil;1980;https://www.guiadasartes.com.br/paulo-bacellar-monteiro;alta;-23.5486657;-46.6382522;100.0;;;
Paulo Pasta;;Fundação Armando Álvares Penteado (FAAP);-23.5450155;-46.6630802;Ariranha, São Paulo, Brazil;;;male;fontes biográficas de referência;;;Iberê Camargo;alto;"MAC; outros; MAC USP";São Paulo, Brasil;1977–1982;fontes biográficas de referência;alta;;;;;;
Paulo Renato Gaiad;Brazil;"Florianópolis; Universidade do Estado de Santa Catarina";"-27.593280555556; -27.60111111";"-48.553047222222; -48.52";Piracicaba;;;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu Victor Meirelles";Florianópolis, Brasil;1970s;fontes biográficas de referência;media;-22.724976;-47.6476;100.0;;;
Paulo Rossi Osir;Brazil;Accademia di Belle Arti di Bologna;44.497811111111;11.353188888889;São Paulo;;;male;"biografia institucional do artista; fontes de referência";;datas aproximadas;;;"MAC; outros; MAC USP";Bolonha, Itália;c. 1910s;"biografia institucional do artista; fontes de referência";media;-23.5486657;-46.6382522;100.0;;;
Paulo Whitaker;;Universidade para o Desenvolvimento do Estado de Santa Catarina (Udesc/SC);-27.593280555556;-48.553047222222;São Paulo, São Paulo, Brazil;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2240-paulo-whitaker | https://www.referenciagaleria.com.br/artista/paulo-whitaker/;;;AM Galeria;médio;"MAC; outros; MAC USP";Santa Catarina;formação concluída em 1984;https://enciclopedia.itaucultural.org.br/pessoas/2240-paulo-whitaker | https://www.referenciagaleria.com.br/artista/paulo-whitaker/;alta;;;;;;
Pedro Alexandrino Borges;Brazil;"aprendizado com Claude-Paul Barandier; Academia Imperial de Belas Artes / Escola Nacional de Belas Artes";-22.91111111111111;-43.20555555555556;São Paulo;;São Paulo;male;"https://pt.wikipedia.org/wiki/Pedro_Alexandrino_Borges | https://www.escritoriodearte.com/artista/pedro-alexandrino | https://pt.wikipedia.org/wiki/Pedro_Alexandrino_Borges; https://pt.wikipedia.org/wiki/Pedro_Alexandrino_Borges | https://www.escritoriodearte.com/artista/pedro-alexandrino";;Fonte adicional aberta informa mestres José Maria Medeiros e Zeferino da Costa no Rio.;;;"outros; Pinacoteca de São Paulo";"Campinas; Rio de Janeiro";"desde 1867; 1890-1892";https://pt.wikipedia.org/wiki/Pedro_Alexandrino_Borges | https://pt.wikipedia.org/wiki/Pedro_Alexandrino_Borges;alta;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0
Pedro Américo;Brazil;"Beaux-Arts de Paris; Academia Imperial de Belas Artes; École des Beaux-Arts; Université libre de Bruxelles";"-22.91111111111111; 48.85666666666667; 50.811667";"-43.20555555555556; 2.333611111111112; 4.381111";Areia;Rio de Janeiro;Florence;male;fontes biográficas de referência;;formação artística e acadêmica mais ampla;;;"outros; Museu Paulista";"Rio de Janeiro, Brasil; Paris, França; Bruxelas, Bélgica";"1855–1859; 1860s; 1868";fontes biográficas de referência;alta;-6.9660876;-35.6899708;100.0;43.7686976;11.2569291;100.0
Pedro Augusto Simões Pires;;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;;;;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu Victor Meirelles";Rio de Janeiro, Brasil;1930s;fontes biográficas de referência;baixa;;;;;;
Pedro Bruno;Brazil;"Conservatório de Nápoles; Conservatório de Roma; Academia Inglesa (curso de pintura, em Roma); Escola Nacional de Belas Artes";"40.84944444; 41.893055555556; 41.893055555556";"14.2525; 12.482777777778; 12.482777777778";Paquetá Island;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Pedro_Bruno | https://pintorpedrobruno.com.br/biografia-pedro-bruno/;;A trajetória combina formação musical e posterior aperfeiçoamento em pintura.;;;"outros; Museu Histórico Nacional";"Nápoles; Roma; Rio de Janeiro";"1905 em diante; 1918; 1918-1922";https://pt.wikipedia.org/wiki/Pedro_Bruno | https://pintorpedrobruno.com.br/biografia-pedro-bruno/;media;14.37611;123.0525;93.69;-22.9014475;-43.1789159;100.0
Pedro Correia de Araújo;;Liceu de Artes e Ofícios de Pernambuco;-8.06127;-34.879077;Paris;;Rio de Janeiro;male;fontes biográficas de referência;;datas aproximadas;;;"outros; Museu da Inconfidência";Recife, Brasil;fim do século XIX;fontes biográficas de referência;baixa;48.856372814;2.352529617;100.0;-22.9014475;-43.1789159;100.0
Pedro Galbiati;;"formação escultórica ítalo-brasileira; instituição não identificada na fonte aberta consultada";"; ";"; ";;;;male;https://www.catalogodasartes.com.br/artista/Pedro%20Galbiati/;;"A fonte disponível é insuficiente para nomear escola específica; registro mantido cauteloso.";;;"outros; Museu Paulista";"Brasil; Itália";;;baixa;;;;;;
Pedro Ivo Carvalho;Brazil;The Animation Workshop;56.4561;9.40611;Niterói, Brazil;;;male;FILE Festival | blog pessoal;alto;;FILE Festival;alta;FILE;;;;;;;;;;
Pedro José Pinto Peres;;"Liceu de Artes e Ofícios do Rio de Janeiro; Academia Imperial de Belas Artes";"-22.91111111111111; -22.91111111111111";"-43.20555555555556; -43.20555555555556";;;;;"Catálogo das Artes; Escritório de Arte; Wikipédia";;chegou ao Brasil ainda criança e realizou sua formação artística no Rio de Janeiro;;;"outros; Museu Victor Meirelles";Rio de Janeiro;"c. 1865; 1868";"Catálogo das Artes; Escritório de Arte; Wikipédia";alta;;;;;;
