creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Rune Spaans;Norway;;;;Norway;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;62.0;10.0;100.0;;;;;;;;
Ruth Gibson;United Kingdom;Royal Melbourne Institute of Technology (RMIT University);-37.80777777777778;144.96333333333334;;;;female;Triarchy Press;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Ryan Seslow;United States;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site oficial recente; sem óbito identificado.";
Ryoya Usuha;Japan;Graduate School of Film and New Media, Tokyo University of the Arts;35.7195782;139.7726862;Saitama Prefecture, Japan;;;male;Tokyo TDC | FILE Festival;médio;;Tokyo TDC;alta;FILE;;;;;35.996251;139.446601;;;;;;;;;
S. Rosenthal;United Kingdom;;;;;;;male;;;;;;Museu Histórico Nacional;;;;;;;;;;;;;;"nome abreviado; identidade insuficiente para desambiguação.";
S4RA;;;;;;;;non-binary;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;pseudônimo não desambiguado.;
Saad Moosajee;United States;Rhode Island School of Design;41.825833333333;-71.407777777778;;;;female;The Talks | shots Awards;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;;
Sabato Visconti;Brazil;Amherst College;42.370833333333;-72.516944444444;São Paulo;;;male;FILE Festival;médio;;Wikidata;alta;FILE;;;;;-23.5486657;-46.6382522;100.0;;;;;;;"site/portfólio recente; sem óbito identificado.";
Sada Yazima;;;;;;;;female;;;formação não localizada com segurança;;;MAC USP;;;;;;;;;;;;;;;
Salar Niknafs;Iran;University of Wollongong;-34.406166666667;150.87953611111;;;;male;University of Wollongong | site oficial;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;;
Salomon van Ruysdael;Dutch Republic;aluno de Esaias van de Velde;52.376609;4.633598;Naarden;Grote Kerk;Haarlem;male;https://en.wikipedia.org/wiki/Salomon_van_Ruysdael | https://www.britannica.com/biography/Salomon-van-Ruysdael;;;Wikidata;alta;MASP;Haarlem;;;media;52.29240476;5.157403567;100.0;52.3802777778;4.6405555556;100.0;Wikipedia (en);Wikidata: Haarlem;Wikidata: Haarlem;;media
Salomé Chatriot;France;École nationale supérieure d’art de Paris-Cergy> Swiss University of Arts and Design in Lausanne;49.0364> 46.533333333333;2.07763> 6.6333333333333;Paris, France;;;female;Reiffers Art Initiatives;médio;;Volery Gallery;alta;FILE;;;;;48.856372814;2.352529617;100.0;;;;;;;;
Salvador Escolá Arimany;Spain;Academia de Belas Artes de Barcelona;41.38240278;2.18358611;Barcelona;;Madrid;male;https://pt.wikipedia.org/wiki/Salvador_Escol%C3%A1_Arimany | https://www.salvadorescola.org/;;A escola de Barcelona é nomeada> a etapa romana aparece como complemento de formação, sem academia identificada na fonte aberta.;Wikidata;alta;Museu Paulista;Barcelona> Roma;antes de 1876> ida posterior a Roma para completar a formação;https://pt.wikipedia.org/wiki/Salvador_Escol%C3%A1_Arimany | https://www.salvadorescola.org/;media;41.387917;2.1699187;100.0;40.4166909;-3.7003454;100.0;site oficial Salvador Escolá;Wikidata: Madrid;Wikidata: Madrid;;alta
Salvatore Insana;Italy;Università degli Studi Roma Tre> Accademia di Belle Arti di Napoli;41.8625> 40.8516;12.47888888888889> 14.2512;Oppido Mamertina, Calabria, Italy;;;male;GAI - Giovani Artisti Italiani> fontes biográficas de referência;médio;;CARMA / biografia pública;alto;FILE;Nápoles, Itália;s.d.;fontes biográficas de referência;media;38.29323;15.98666;;;;;;;;"biografia recente; sem óbito identificado.";
Sam Twidale;England;Liverpool University;53.406;-2.967;Hereford, United Kingdom;;;male;CCCB | FILE Festival;médio;;FILE Festival;alto;FILE;;;;;52.056736;-2.714413;;;;;;;;"site/biografia recente; sem óbito identificado.";
Samson Flexor;Brazil;Académie Royale des Beaux-Arts - École supérieure des Arts de la Ville de Bruxelles> Académie Royale des Beaux-Arts> École Nationale Supérieure des Beaux-Arts> Sorbonne;50.844> 50.844> 48.84861111111111;4.3477> 4.3477> 2.343611111111111;Soroca;;São Paulo;male;Enciclopédia Itaú Cultural;;fontes secundárias mencionam ainda academias Ranson e La Grande Chaumière, não consolidadas aqui para manter concisão;Wikidata;alta;MAC USP;Bruxelas, Bélgica> Paris, França> Paris, França;1922–1924> desde 1924> desde 1924;Enciclopédia Itaú Cultural;alta;48.138362008203;28.19432030475;100.0;-23.5503944444;-46.6339472222;100.0;Itaú Cultural;Wikidata: São Paulo;Wikidata: São Paulo;;alta
Samuel Fouracre;United Kingdom;Royal College of Art;51.501388888889;-0.17888888888889;United Kingdom;;;male;FILE Festival;médio;;FILE Festival / IMDb;alto;FILE;;;;;53.408386605;-1.969559544;100.0;;;;;;;;
Samuel Walters;United Kingdom of Great Britain and Ireland;Liverpool Academy> formação inicial com o pai Miles Walters;53.401862;-2.983605;London;;Liverpool;male;https://www.askart.com/bio/Samuel_Walters/9000406/Samuel_Walters | https://en.wikipedia.org/wiki/Samuel_Walters_%28artist%29;;A Wikipedia também o descreve como amplamente autodidata após ensino paterno.;Wikidata;alta;Coleção Brasiliana Itaú;Liverpool;;;media;51.50740836;-0.127698693;100.0;53.409366791;-2.978494817;100.0;"Artnet; Wikipedia (en)";Wikidata: Liverpool;Wikidata: Liverpool;;media
Sandra Crisp;United Kingdom;Wimbledon School of Art;51.41343;-0.211466;Cheshire, United Kingdom;;;female;FILE Festival;médio;;FILE Festival;alta;FILE;;;;;53.1926;-2.8894;;;;;;;;;
Sandrine Deumier;France;;;;;;;female;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;;
Sandro Botticelli;Italy;aprendiz no ateliê de Fra Filippo Lippi;43.776907> 43.88;11.258475> 11.09833;Florence;Ognissanti Church;Florence;male;https://en.wikipedia.org/wiki/Sandro_Botticelli;;Fontes abertas recuperadas não confirmam outra oficina com o mesmo grau de certeza.;Wikidata;alta;MASP;Florença> Prato;c.1461/1462-c.1467;https://en.wikipedia.org/wiki/Sandro_Botticelli;alta;43.7686976;11.2569291;100.0;43.7686976;11.2569291;100.0;Britannica;Wikidata: Florence;Wikidata: Florence;;alta
Sandro Miccoli;Brazil;Universidade Federal de Minas Gerais (UFMG);-19.8690878;-43.9663841;Belo Horizonte, Minas Gerais, Brazil;;;male;FILE Festival;médio;fonte descreve o artista como “natural de Belo Horizonte”> usado com baixa confiança.;FILE Festival;baixa;FILE;;;;;-19.9181771;-43.9370534;100.0;;;;;;;;
Sangjun Yoo;;University of Ulsan College of Medicine;35.52;129.429;Seoul, South Korea;;;male;;;;about.me / SEA Foundation;médio;FILE;;;;;37.566;126.9784;100.0;;;;;;;;
Santiago Echeverry;Colombia;New York University;40.73;-73.995;Bogotá, Colombia;;;male;FILE Festival;médio;;FilmFreeway / biografia pública;alto;FILE;;;;;4.6068824;-74.071837;100.0;;;;;;;;
Sara Kolster;Kingdom of the Netherlands;Design Academy Eindhoven;51.439825;5.474695;Netherlands;;;female;FILE Festival;médio;;Wikidata;alta;FILE;;;;;52.249375293;5.616126398;100.0;;;;;;;;
Sara Ávila;;Escola de Belas Artes de Belo Horizonte / atual Escola Guignard-UEMG;-19.8690878;-43.9663841;;;Belo Horizonte;female;https://www.guiadasartes.com.br/sara-avila-de-oliveira/artista | https://www.escritoriodearte.com/artista/sara-avila-de-oliveira;;Também aparecem aulas com Guignard, Franz Weissmann, Anna Letycia e Quaglia.;;;MAC USP;Belo Horizonte;1953-1955;https://www.guiadasartes.com.br/sara-avila-de-oliveira/artista | https://www.escritoriodearte.com/artista/sara-avila-de-oliveira;alta;;;;-19.9280555556;-43.9419444444;100.0;"SECULT MG; Hoje em Dia";Wikidata: Belo Horizonte;Wikidata: Belo Horizonte;;alta
Sarah Ouazzani;France;Conservatoire National de Marseille;43.2959;5.38358;;;;female;In-Sonora;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;;
Saul;United Kingdom;autodidata;51.453132471;-2.600983373;;;;male;FILE Festival | Sulkybunny / NERD Productions;médio;local de nascimento não localizado em fonte auditável> autodidata> coordenadas atribuídas à cidade-base do estúdio e da residência atual;;;FILE;Bristol;;;baixa;;;;;;;;;;nome insuficiente para desambiguação.;
Saurabh Datta;India;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;;
Scant Intone;Canada;;;;;;;male;;;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site oficial recente; sem óbito identificado.";
Scipione;Kingdom of Italy;Scuola Libera di Nudo, Accademia di Belle Arti di Roma;41.893055555556;12.482777777778;Macerata;;Arco;male;https://en.wikipedia.org/wiki/Scipione_(Gino_Bonichi);;instituição confirmada> data de ingresso não localizada com precisão na fonte consultada;Wikidata;alta;MAC USP;Roma, Itália;;;media;43.3007462;13.456262;100.0;45.9166666667;10.8833333333;100.0;Treccani;Wikidata: Arco (Q138473);Wikidata: Arco (Q138473);;alta
Scipião Mandira;;;;;;;;;fontes biográficas de referência;;artista autodidata> sem escola formal localizada;;;MAC USP;Salvador, Brasil;s.d.;fontes biográficas de referência;baixa;;;;;;;;;;identidade insuficiente para desambiguação.;
Sebastian Gatz;Kingdom of Denmark;The Royal Danish Academy of Fine Arts> HDK-Valand Academy of Art and Design, University of Gothenburg> Konstfack University of Arts, Crafts and Design;59.29861111;17.99583333;;;;male;FILE Festival / site do artista;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site/biografia recente; sem óbito identificado.";
Sebastian Tedesco;Argentina;Universidad de Buenos Aires> Universidad Nacional de Tres de Febrero;-34.599722222222> -34.60166667;-58.373055555556> -58.52777778;Buenos Aires;;;male;CV do artista;médio;;Wikidata;alta;FILE;;;;;-34.6090264;-58.3732215;100.0;;;;;;;"site/CV recente; sem óbito identificado.";
Serge Poliakoff;Russian Empire;Académie de la Grande Chaumière> Moscow School of Painting, Sculpture and Architecture;55.76416131;37.63523324;Moscow;Sainte-Geneviève-des-Bois Russian Cemetery;Paris;male;https://en.wikipedia.org/wiki/Serge_Poliakoff;;Fonte confirma formação em Moscou antes do exílio e matrícula na Grande Chaumière em Paris em 1929.;Wikidata;alta;MAC USP;Moscou, Rússia> Paris, França;até 1918> 1929;https://en.wikipedia.org/wiki/Serge_Poliakoff;media;55.7565408;37.6149202;100.0;48.8566666667;2.3522222222;100.0;Centre Pompidou;Wikidata: Paris (Q90);Wikidata: Paris (Q90);;alta
Sergio Mantilla;Colombia;Universidad de los Andes> Fundação Armando Álvares Penteado (FAAP);-33.404007> -23.5450155;-70.507468> -46.6630802;;;;male;site do artista;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site oficial recente; sem óbito identificado.";
Sergio Niculitcheff;;Instituto de Artes e Decoração (IADÊ)> Ateliê de Gravura da Escola de Comunicações e Artes da USP;-23.550394444444> -23.55833333;-46.633947222222> -46.72694444;São Paulo, SP, Brasil;;;male;https://enciclopedia.itaucultural.org.br/pessoas/3078-niculitcheff;;;MAC USP / MAC Encontra os Artistas;alta;MAC USP;São Paulo, Brasil> São Paulo, Brasil;1975–1977> 1978;https://enciclopedia.itaucultural.org.br/pessoas/3078-niculitcheff;alta;-23.5486657;-46.6382522;;;;;;;;"biografia recente; sem óbito identificado.";
Servando Barreiro;Spain;;;;Santiago de Compostela, Spain;;;male;;;;Art Meets Radical Openness;alta;FILE;;;;;42.8806228;-8.5466071;100.0;;;;;;;"perfil/site recente; sem óbito identificado.";
Seymor Lipton;;Brooklyn Polytechnic Institute> City College of New York> Columbia University (DDS);40.65083333333333> 40.8194;-73.94972222222222> -73.95;Nova York, Nova York, Estados Unidos;;Glen Cove;male;https://michaelrosenfeld.com/storage/app/media/Artist/CV/Seymour%20Lipton%20CV.pdf | https://www.britannica.com/biography/Seymour-Lipton> https://michaelrosenfeld.com/storage/app/media/Artist/CV/Seymour%20Lipton%20CV.pdf | https://findingaids.archives.newschool.edu/repositories/3/resources/98;;"creator grafado como 'Seymor'; fonte biográfica usa 'Seymour Lipton'";Saint Louis Art Museum;media;MAC USP;Nova York (EUA);1923-1927;https://michaelrosenfeld.com/storage/app/media/Artist/CV/Seymour%20Lipton%20CV.pdf;alta;40.7130466;-74.0072301;;40.8672222222;-73.6277777778;;Smithsonian American Art Museum;Wikidata: Glen Cove (Q1006668);Wikidata: Glen Cove (Q1006668);"registro auditado como Seymour Lipton; grafia divergente em creator.";alta
Sheila Brannigan;;ateliers de André Lhote e Henry Goetz> Académie de La Grande Chaumière;> 48.8422;> 2.3304;;;London;female;https://www.catalogodasartes.com.br/artista/Sheila%20Brannigan/;;A fonte indica início da pintura na Suíça e posterior formação em Paris.;;;MAC USP;Suíça> Paris, França;antes de 1957> sem datas exatas na fonte;https://www.catalogodasartes.com.br/artista/Sheila%20Brannigan/;alta;;;;51.5072222222;-0.1275;;MAC USP;Wikidata: London (Q84);Wikidata: London (Q84);;alta
Shenuka Corea;Pakistan;New York University Abu Dhabi> School of Visual Arts;24.5239> 40.73861111;54.4346> -73.98222222;;;;female;NYU Abu Dhabi / School of Visual Arts;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site/portfólio recente; sem óbito identificado.";
Shinzo Adachi;;Tokyo School of Fine Arts;35.68944444444445;139.6916666666667;;;;;fontes biográficas de referência;;instituição identificada em fontes sumárias;;;MAC USP;Tóquio, Japão;s.d.;fontes biográficas de referência;baixa;;;;;;;;;;sem fonte auditável de local de morte.;
Shirin Abedinirad;Iran;Shariaty Technical College> Michigan State University;35.62037376586496> 42.7018637482531;51.399823250684136> -84.48216117291386;Tabriz;;;female;FILE Festival | site oficial da artista;alto;;Wikidata;alta;FILE;;;;;38.08;46.2919;100.0;;;;;;;"site oficial recente; sem óbito identificado.";
Shirley Paes Leme;Brazil;University of California, Berkeley;37.871944444444445;-122.25833333333334;Cachoeira Dourada, GO, Brasil;;;female;MAC_consolidado_normalized.csv / nationality_refined_dataset.csv;;dados recuperados de base auxiliar> datas não localizadas;MACRS;alta;MAC USP;Berkeley, Califórnia, EUA;;;alta;-10.769946429;-53.073466889;;;;;;;;"exposição recente; sem óbito identificado.";
Shoichiro Mori;Japan;Waseda University;35.709202777778;139.71933333333;Amagasaki;;;male;Enciclopédia Itaú Cultural / bases auxiliares;;;Wikidata;alta;MAC USP;Tóquio, Japão;s.d.;Enciclopédia Itaú Cultural / bases auxiliares;alta;34.73377489;135.40636455;100.0;;;;;;;sem fonte auditável de local de morte.;
Sigrun Höllrigl;Austria;University of Vienna;48.213055555555556;16.35972222222222;Innsbruck, Austria;;;female;site da artista;médio;;site oficial da artista;alto;FILE;;;;;47.26543;11.392768;;;;;;;;"perfil/atividade recente; sem óbito identificado.";
Silvano Bozzolini;Italy;Accademia di Belle Arti di Firenze> École des Beaux-Arts;43.776907> 48.85666666666667;11.258475> 2.333611111111112;Fiesole;;Poggibonsi;male;Hanina Fine Arts biography> gallery Champetier;;;Wikidata;alta;MAC USP;Florença, Itália> Paris, França;anos 1930> 1947;Hanina Fine Arts biography> gallery Champetier;media;43.8069331;11.2927658;100.0;43.4666694444;11.15;100.0;MAC USP;Wikidata: Poggibonsi (Q91350);Wikidata: Poggibonsi (Q91350);corrigido de Paris para Poggibonsi conforme MAC USP.;alta
Silvano Vescovi;;Accademia di Belle Arti di Venezia;45.4286;12.3305;;;;;fontes biográficas de referência;;instituição identificada> datas não localizadas com precisão;;;MAC USP;Veneza, Itália;s.d.;fontes biográficas de referência;media;;;;;;;;;;sem fonte auditável de local de morte.;
Silvia De Gennaro;Italy;;;;Siena, Italy;;;female;;;;galeria / biografia pública;médio;FILE;;;;;43.318809;11.330757;;;;;;;;"exposição/biografia recente; sem óbito identificado.";
Silvia Laurentiz;Brazil;Fundação Armando Álvares Penteado (FAAP);-23.5450155;-46.6630802;;;;female;BV FAPESP / Currículo Lattes;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Silvia Ruzanka;Peru;Smith College> School of the Art Institute of Chicago;42.3175> 41.879444444444;-72.6375> -87.623888888889;Cuzco, Peru;;;female;site da artista;médio;;FILE Festival;alta;FILE;;;;;-13.53195;-71.967463;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Simon Boucly;France;Supinfocom Rubika School;50.357856469;3.524197715;;;;male;FILE Festival;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil/filmografia recente; sem óbito identificado.";
Simon Christoph Krenn;Austria;University of Innsbruck> University of Arts and Industrial Design Linz;48.3066;14.2857;Feldkirch, Austria;;;male;Art Meets Radical Openness;médio;;Art Meets Radical Openness;alta;FILE;;;;;47.239443;9.59886;;;;;;;;"perfil/biografia recente; sem óbito identificado.";
Simon Scheiber;Austria;;;;Austria;;;male;;;fonte consultada informa nascimento apenas em nível de país;site oficial do artista / Zippy Frames;médio;FILE;;;;;47.585810005;14.137076948;100.0;;;;;;;"site oficial recente; sem óbito identificado.";
Simone Rebaudengo;Italy;Delft University of Technology> Polytechnic University of Turin;52.001666666667> 45.063094444444;4.3725> 7.661075;;;;male;ThingsCon;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site oficial recente; sem óbito identificado.";
Simplício Rodrigues de Sá;Kingdom of Portugal;inicia-se no ofício de artista em Lisboa> aproxima-se da Missão Artística Francesa> formação com Jean-Baptiste Debret;38.708042;-9.139016;São Nicolau Tolentino;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Simpl%C3%ADcio_Rodrigues_de_S%C3%A1 | https://enciclopedia.itaucultural.org.br/pessoas/7754-simplicio-de-sa;;Sem escola formal nomeada nas fontes recuperadas.;Wikidata;alta;Pinacoteca de São Paulo;Lisboa> Rio de Janeiro;antes de 1809> sem data exata na fonte;;media;15.01279;-23.57054;100.0;-22.9111111111;-43.2055555556;100.0;Itaú Cultural;Wikidata: Rio de Janeiro (Q8678);Wikidata: Rio de Janeiro (Q8678);;alta
Sir Henry Chamberlain, 2nd Baronet;Brazil;formação militar e diplomática britânica> estudos de desenho topográfico no contexto do serviço exterior;> ;> ;London;;Bermuda;male;https://pt.wikipedia.org/wiki/Henry_Chamberlain;;As fontes biográficas abertas enfatizam carreira diplomática e prática de desenho, sem escola formal claramente identificada.;Wikidata;alta;MASP;Londres;fim do séc. XVIII;;baixa;51.50740836;-0.127698693;100.0;32.32;-64.74;100.0;Itaú Cultural;Wikidata: Bermuda (Q23635);Wikidata: Bermuda (Q23635);;alta
Sofia Pardillo;United States;Pratt Institute;40.691111;-73.963889;;;;female;FILE Festival;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil recente; sem óbito identificado.";
Sofia Pashaei;Sweden;The Animation Workshop;56.4561;9.40611;Sweden;;;female;FILE Festival;médio;;Willow Art Space;alto;FILE;;;;;64.712585547;17.260487956;100.0;;;;;;;"galeria recente; sem óbito identificado.";
Sofie Kampmark;Kingdom of Denmark;The Animation Workshop, Viborg, Denmark;56.4561;9.40611;Copenhagen, Denmark;;;female;Danish Film Institute;alto;declaração em entrevista da própria artista.;Genevieve Clee Gallery;media;FILE;;;;;55.675757;12.5690233;;;;;;;;"site/biografia recente; sem óbito identificado.";
Sofía Bertomeu;Spain;;;;Benidorm, Spain;;;female;;;;site oficial da artista;alto;FILE;;;;;38.541056;-0.122494;;;;;;;;"site oficial recente; sem óbito identificado.";
Solimán López;Spain;University of Córdoba;37.8847;-4.78833;Burgos;;;male;nota de imprensa / Paris College of Art;médio;;Wikidata;alta;FILE;;;;;42.3408923;-3.6997623;100.0;;;;;;;"atividade recente; sem óbito identificado.";
Sonia Li;Taiwan;New York University Tisch School of the Arts;40.72922222;-73.99377778;Taiwan;;;female;site da artista / NYU Tisch;médio;;CreativeMornings;alta;FILE;;;;;23.69781;120.960515;;;;;;;;"site oficial recente; sem óbito identificado.";
Sonia Paço-Rocchia;Canada;Université de Montréal;45.50414;-73.61433;Montreal;;;female;;;;Wikidata;alta;FILE;;;;;45.508867;-73.554242;100.0;;;;;;;"site/biografia recente; sem óbito identificado.";
Sonia von Brüsky;Brazil;Museu de Arte Moderna do Rio de Janeiro (MAM-RJ)> ateliê de Ivan Serpa> Escola de Artes Visuais do Parque Lage (EAV-Parque Lage);-22.91111111111111> -22.9606;-43.20555555555556> -43.212;Rio de Janeiro;;;female;https://enciclopedia.itaucultural.org.br/pessoas/177-sonia-von-brusky | https://acervo.macrs.rs.gov.br/artistas-macrs/sonia-von-brusky/;;As fontes indicam formação inicial no Rio e aperfeiçoamento posterior na Europa.;Wikidata;alta;MAC USP;Rio de Janeiro (RJ)> Bruxelas> Munique;1967> 1974;https://enciclopedia.itaucultural.org.br/pessoas/177-sonia-von-brusky | https://acervo.macrs.rs.gov.br/artistas-macrs/sonia-von-brusky/;alta;-22.9014475;-43.1789159;100.0;;;;;;;verbete atualizado sem registro de óbito.;
Sophie Taeuber-Arp;Switzerland;Gewerbeschule / School of Applied Arts> Debschitz-Schule> Kunstgewerbeschule Hamburg;48.1375> 53.56757;11.575> 10.03132;Davos;;Zurich;female;https://en.wikipedia.org/wiki/Sophie_Taeuber-Arp;;As fontes permitem reconstituir a sequência de formação em St. Gallen, Munique e Hamburgo antes do retorno à Suíça em 1914.;Wikidata;alta;MAC USP;St. Gallen, Suíça> Munique, Alemanha> Hamburgo, Alemanha> Munique, Alemanha;1906–1910> 1911> 1912–1913> 1913–1914;https://www.fondazionearp.ch/de/sophie-taeuber-arp;alta;46.790561747;9.822948957;100.0;47.3744444444;8.5411111111;100.0;Stiftung Arp e.V.;Wikidata: Zurich (Q72);Wikidata: Zurich (Q72);;alta
Soran Ahmed;Iraq;Universität der Künste Berlin;52.50916666666667;13.32694444444444;;;;male;site pessoal do artista;médio;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"site/biografia recente; sem óbito identificado.";
Stavros Didakis;Greece;University of Plymouth> Queen's University Belfast> London Metropolitan University;50.374121> 54.584166666667> 51.551574;-4.138512> -5.9347222222222> -0.110687;;;;male;NYU Shanghai | CV do artista;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Stefano Delle Monache;Italy;Catholic University of Milan> IUAV University of Venice> Conservatory of Como;45.4631> 45.81025;9.1769111111111> 9.0861388888889;Padua;;;male;FILE Festival;médio;;Wikidata;alta;FILE;;;;;45.4095409;11.8765508;100.0;;;;;;;"publicação/perfil recente; sem óbito identificado.";
Stefano Miraglia;Spain;Università degli Studi Roma Tre> École Normale Supérieure de Lyon;41.8625> 45.729734;12.47888888888889> 4.826875;Málaga;;;male;bio do artista;médio;;Wikidata;alta;FILE;;;;;36.7196292;-4.4200007;100.0;;;;;;;"biografia/perfil recente; sem óbito identificado.";
Stella Speziali;Switzerland;École cantonale d’art de Lausanne (ECAL)> Zürcher Hochschule der Künste (ZHdK);47.38295;8.5358;;;;female;ZHdK | CV da artista;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil profissional recente; sem óbito identificado.";
Stephan Kessler;;formação com o pai Georg Kessler, pintor;48.719138999;10.777945;Donauwörth;;Brixen;male;https://de.wikipedia.org/wiki/Stephan_Kessler_%28Maler%29 | https://www.dorotheum.com/en/l/6534426/;;As fontes abertas recuperadas não indicam academia formal> a formação foi registrada de modo conservador pela tradição familiar/oficina.;Wikidata;alta;Pinacoteca de São Paulo;Donauwörth;;;baixa;48.719138999;10.777945;100.0;46.7165488889;11.6578511111;100.0;Wikidata;Wikidata: Brixen (Q185541);Wikidata: Brixen (Q185541);;media
Stuart Pound;United Kingdom;Nottingham Trent University;52.9564;-1.15203;London, England, United Kingdom;;;male;Experimental Cinema;médio;;FilmFreeway / IMDb;médio;FILE;;;;;51.50740836;-0.127698693;;;;;;;;"site/biografia recente; sem óbito identificado.";
Susana Wald;Chile;Escuela de Bellas Artes de la Universidad de Chile;-33.44454888888889;-70.65095388888889;Budapest;;;female;fontes biográficas de referência;;instituição identificada em biografias sumárias;Wikidata;alta;MAC USP;Santiago, Chile;s.d.;fontes biográficas de referência;baixa;47.4981441;19.0405528;100.0;;;;;;;"biografia institucional recente; sem óbito identificado.";
Susanna Flock;Austria;University of Art and Design Linz> Academy of Fine Arts Vienna;48.3066> 48.201388888889;14.2857> 16.365277777778;Graz;;;female;FILE Festival;médio;;Wikidata;alta;FILE;;;;;47.0695512;15.4381829;100.0;;;;;;;"perfil/biografia recente; sem óbito identificado.";
Susanne Slavick;United States;Yale University> Jagiellonian University> Tyler School of Art;41.311111111111> 50.06166666666667> 39.9832;-72.926666666667> 19.933888888888887> -75.1536;;;;female;Carnegie Mellon University;alto;local de nascimento não localizado em fonte auditável;;;FILE;;;;;;;;;;;;;;"perfil institucional recente; sem óbito identificado.";
Susanne Wiegner;Germany;Akademie der Bildenden Künste München> Pratt Institute;48.1531959202723;11.5803123911292;Germany;;;female;Haus der Kunst | ADAF;médio;FILE explicita “País de Origem: Alemanha”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;51.110631049;10.392277932;100.0;;;;;;;"site/CV recente; sem óbito identificado.";
Suzanne Valadon;France;sem formação formal> aprendizado com artistas do meio parisiense e orientação de Edgar Degas;> ;> ;Bessines-sur-Gartempe;Saint-Ouen Cemetery;Paris;female;https://nmwa.org/art/artists/suzanne-valadon/ | https://pt.wikipedia.org/wiki/Suzanne_Valadon> https://nmwa.org/art/artists/suzanne-valadon/;;As fontes indicam explicitamente ausência de aulas formais de arte.;Wikidata;alta;MASP;Paris;c.1880-1893;https://nmwa.org/art/artists/suzanne-valadon/;media;46.108999393;1.369008025;100.0;48.8566666667;2.3522222222;100.0;Musée d’Orsay;Wikidata: Paris (Q90);Wikidata: Paris (Q90);"fonte indica Paris/Paris 16e; local normalizado para Paris.";alta
Svend Wiig Hansen;Kingdom of Denmark;The Royal Danish Academy of Fine Arts School of Visual Arts;55.6801;12.5874;Møgeltønder;;Helsingør;male;;;;Wikidata;alta;;;;;;54.9405144;8.8039655;100.0;56.0358333333;12.6105555556;100.0;Den Store Danske;Wikidata: Helsingør (Q26881);Wikidata: Helsingør (Q26881);;alta
Sydenham Edwards;Wales;estudos de ilustração botânica com William Curtis;51.50740836;-0.127698693;Usk;;;male;https://artcollection.dcms.gov.uk/person/edwards-sydenham-teast/ | https://en.wikipedia.org/wiki/Sydenham_Edwards;;As fontes descrevem formação com William Curtis, sem instituição formal nomeada.;Wikidata;alta;Coleção Brasiliana Itaú;Grã-Bretanha;antes de 1787;https://en.wikipedia.org/wiki/Sydenham_Edwards;media;51.701047166;-2.902065141;100.0;;;;;;;"fontes divergentes entre Brompton/Queen’s Elms e Chelsea; campo não preenchido.";
Sylvain Souklaye;France;autodidata;45.767634724;4.835037488;France;;;male;FILE Festival | Prospect Art | Prospect Art / In-Sonora;médio;FILE explicita “País de Origem: França”> preenchido em nível de país.> autodidata> fonte explicita início da prática performática em Lyon;FILE Festival (País de Origem);alta;FILE;Lyon;;;alta;46.559417044;2.550539953;100.0;;;;;;;"site/atividade recente; sem óbito identificado.";
